,open,close,high,low,volume,money
2017-12-27,6230.0,6156.2,6233.8,6147.8,9052.0,11212462640.0
2017-12-28,6145.0,6206.0,6242.8,6145.0,9604.0,11921988840.0
2017-12-29,6206.0,6280.8,6305.0,6205.2,8330.0,10394422200.0
2018-01-02,6293.0,6345.0,6355.0,6266.6,8880.0,11217410360.0
2018-01-03,6350.0,6388.2,6411.4,6336.4,8896.0,11348790760.0
2018-01-04,6375.0,6406.8,6414.8,6375.0,7374.0,9435132840.0
2018-01-05,6407.2,6400.8,6429.2,6383.6,7585.0,9716800000.0
2018-01-08,6400.8,6433.0,6443.6,6378.6,7945.0,10195577680.0
2018-01-09,6433.0,6435.0,6437.6,6402.2,7365.0,9457612320.0
2018-01-10,6427.0,6406.6,6436.2,6360.0,8377.0,10709147680.0
2018-01-11,6384.8,6423.2,6443.0,6372.2,8463.0,10846720440.0
2018-01-12,6419.8,6401.2,6428.2,6372.8,8205.0,10505557040.0
2018-01-15,6393.2,6273.0,6396.0,6242.2,9382.0,11850684400.0
2018-01-16,6261.2,6285.6,6317.8,6261.2,9437.0,11871699680.0
2018-01-17,6279.6,6250.0,6299.2,6193.2,10326.0,12904266760.0
2018-01-18,6252.0,6285.6,6316.8,6246.2,6976.0,8771201520.0
2018-01-19,6284.2,6281.0,6333.8,6268.8,3931.0,4950314320.0
2018-01-22,6234.8,6348.6,6359.8,6200.8,10788.0,13577432440.0
2018-01-23,6346.8,6345.8,6377.0,6323.6,8050.0,10218044240.0
2018-01-24,6350.0,6409.6,6430.0,6326.6,10524.0,13430338000.0
2018-01-25,6395.0,6387.0,6449.6,6382.0,9106.0,11691447240.0
2018-01-26,6387.0,6397.0,6413.8,6377.0,7311.0,9351343880.0
2018-01-29,6396.8,6312.2,6430.4,6287.2,9592.0,12188254920.0
2018-01-30,6307.8,6302.8,6346.0,6291.4,7853.0,9932585160.0
2018-01-31,6280.0,6186.6,6285.0,6156.6,9923.0,12323464400.0
2018-02-01,6189.8,5970.0,6212.0,5961.4,11166.0,13572511200.0
2018-02-02,5959.4,5986.2,6018.6,5832.6,11551.0,13756238000.0
2018-02-05,5930.0,5979.8,6015.8,5916.4,8507.0,10150531560.0
2018-02-06,5913.0,5686.8,5933.2,5651.8,12013.0,13985899360.0
2018-02-07,5805.2,5663.0,5837.0,5606.8,12850.0,14729347080.0
2018-02-08,5689.0,5747.0,5804.8,5680.0,10648.0,12260628520.0
2018-02-09,5645.0,5504.0,5678.0,5453.2,11985.0,13364141080.0
2018-02-12,5528.0,5637.8,5698.0,5528.0,5657.0,6376226880.0
2018-02-13,5670.2,5688.0,5758.0,5668.2,6464.0,7383982080.0
2018-02-14,5680.0,5708.0,5715.0,5660.0,6253.0,7113669000.0
2018-02-22,5780.0,5825.0,5836.0,5738.8,9041.0,10481676800.0
2018-02-23,5830.0,5833.4,5853.4,5777.0,9405.0,10946426000.0
2018-02-26,5876.6,6004.6,6013.8,5865.0,11347.0,13481589160.0
2018-02-27,5998.0,5979.6,6022.6,5965.0,9180.0,11010456400.0
2018-02-28,5953.6,5983.4,6026.0,5918.2,10025.0,11988849680.0
2018-03-01,5957.8,6057.8,6074.4,5941.2,10536.0,12695557360.0
2018-03-02,6019.8,6035.2,6068.0,6005.0,10214.0,12324631720.0
2018-03-05,6050.2,6019.2,6066.4,5970.2,9630.0,11583874120.0
